Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
12542635165,"Sep 30, 2024, 6:38:12 PM",night walk,Walk,,3747,4.40,,,false,,,activities/12542635165.gpx,,,3747.0,3700.0,4399.3,7.23,1.189,56.0,56.0,-1.9,21.0,49.6,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,17.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.174,0.0,,,,6118.0,,,,,,,,,,,,,""
12592896582,"Oct 6, 2024, 3:36:20 PM",New Route,Walk,,12325,9.30,,,false,,,activities/12592896582.gpx,,,12325.0,7262.0,9299.1,14.643,1.281,110.0,110.0,-8.9,22.9,49.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.754,0.0,,,,10176.0,,,,,,,,,,,,,""
12624510761,"Oct 10, 2024, 4:07:10 PM",i am immune,Walk,,16182,12.56,,,false,,,activities/12624510761.gpx,,,16182.0,8890.0,12562.4,15.466,1.413,129.4,129.4,-7.8,23.2,46.3,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,0.0,19.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.776,0.0,,,,11106.0,,,,,,,,,,,,,""
12631476051,"Oct 11, 2024, 3:46:23 PM",bigat ng dala,Walk,mejo nag taxi nalang pauwi dahil sa bigas at etlog,12634,7.13,,,false,,,activities/12631476051.gpx,,,12634.0,3231.0,7130.1,20.694,2.207,47.0,57.1,-3.1,17.9,49.3,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.564,0.0,,,,5836.0,,,,,,,,,,,,,""
12655162965,"Oct 14, 2024, 3:19:49 PM",usd,Walk,,9771,8.36,,,false,,,activities/12655162965.gpx,,,9771.0,3794.0,8361.8,21.916,2.204,65.9,83.3,-6.8,18.0,38.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,1728918016.0,1.0,31.3,31.2,19.0,0.48,1008.4,2.1,3.6,65.0,0.0,1728872064.0,1728913792.0,0.375,,,0.0,1.0,0.01,20997.0,0.0,,,,,2.0,0.856,0.0,,,,4746.0,,,,,,,,,,,,,""
12680969835,"Oct 17, 2024, 3:33:07 PM",yes i walked this for real,Walk,,24757,124.21,,,true,,,activities/12680969835.gpx,,,24757.0,10393.0,124216.0,29.578,11.952,579.9,587.0,-21.7,41.0,45.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1729177216.0,1.0,30.7,31.1,24.1,0.68,1008.4,3.1,4.4,348.0,0.0,1729131520.0,1729172992.0,0.375,,,0.0,1.0,0.02,21071.0,0.0,,,,,2.0,5.017,290.5,,,,7000.0,27.02,,,,,,,,,,,,""
12683147085,"Oct 18, 2024, 5:57:44 AM",.,Walk,,8863,8.72,,,false,,,activities/12683147085.gpx,,,8863.0,4257.0,8725.2,22.911,2.05,87.2,92.0,-2.5,14.1,39.9,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,1729227648.0,1.0,31.5,33.8,22.8,0.6,1010.4,3.0,5.1,159.0,0.0,1729217920.0,1729259264.0,0.5,,,0.52,5.0,0.18,21101.0,3.0,,,,,2.0,0.984,0.0,,,,4090.0,,,,,,,,,,,,,""
12854154278,"Nov 8, 2024, 4:27:43 PM",ala naman na burn na calories,Walk,,10647,6.71,,,false,,,activities/12854154278.gpx,,,10647.0,4744.0,6715.2,16.41,1.416,84.5,84.5,-7.0,21.3,34.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,1731081600.0,1.0,25.8,26.7,20.9,0.74,1014.1,0.5,1.3,306.0,0.0,1731032960.0,1731072640.0,0.125,,,0.0,1.0,0.0,17702.0,0.0,,,,,0.0,0.631,0.0,,,,8092.0,,,,,,,,,,,,,""
16045506178,"Oct 5, 2025, 2:49:37 PM",LOL,Walk,"",15258,6.78,,,false,,,activities/16045506178.gpx,,,15258.0,1784.0,6783.5,22.66,3.802,59.2,58.8,-3.9,12.0,38.5,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.445,0.0,,,,2110.0,0.0,,,,,,,,,,,,""
16077345831,"Oct 8, 2025, 3:32:09 PM",:p,Walk,"",7909,6.88,,,false,,,activities/16077345831.gpx,,,7909.0,1892.0,6888.8,22.5,3.641,65.6,59.6,-8.5,10.1,33.9,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,8.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.871,0.0,,,,1914.0,0.0,,,,,,,,,,,,""
