Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
14004990872,"Mar 27, 2025, 5:15:42 PM",Night Walk,Walk,"",7045,9.14,,,false,,,activities/14004990872.gpx,,,7045.0,6526.0,9144.5,7.74,1.401,125.5,125.5,-22.9,19.6,49.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.298,310.9,,,,11784.0,,,,,,,,,,,,,""
14051700236,"Apr 1, 2025, 5:05:34 PM",short bbt,Walk,"",6632,6.59,,,false,,,activities/14051700236.gpx,,,6632.0,4825.0,6594.2,6.96,1.367,61.5,61.5,-5.0,18.5,48.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.994,0.0,,,,8736.0,,,,,,,,,,,,,media/CB5C589C-ADE7-4A8C-90FC-4EF8DD0EE34C.jpg
14071309120,"Apr 3, 2025, 4:53:45 PM",Night Walk,Walk,"",6870,8.40,,,false,,,activities/14071309120.gpx,,,6870.0,6646.0,8405.9,3.39,1.265,44.3,44.3,-11.0,16.7,42.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.224,300.6,,,,11624.0,,,,,,,,,,,,,""
14109673317,"Apr 7, 2025, 4:07:39 PM",Night Walk,Walk,night walk with my pretty wife + shawarma date,10429,9.81,,,false,,,activities/14109673317.gpx,,,10429.0,7812.0,9817.6,7.743,1.257,136.9,136.9,-18.9,15.8,48.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.941,302.1,,,,12930.0,,,,,,,,,,,,,media/DFD2D925-DC2C-4CFA-9A13-01398FA56301.jpg
14119779298,"Apr 8, 2025, 4:21:29 PM",Night Walk,Walk,shawarma date,8740,7.43,,,false,,,activities/14119779298.gpx,,,8740.0,6101.0,7433.2,7.76,1.218,54.0,54.0,-11.0,17.0,48.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.85,0.0,,,,9996.0,,,,,,,,,,,,,media/AA254400-B9EA-4DFF-B8A9-B1D7BA3ADD6C.jpg|media/6A823937-A04F-44C5-A171-C22BD5CA038A.jpg
14246117323,"Apr 21, 2025, 6:58:44 PM",Night Walk,Walk,with mama,6664,4.67,,,false,,,activities/14246117323.gpx,,,6664.0,4428.0,4675.8,14.9,1.056,26.8,26.8,-1.8,12.5,33.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,1745258368.0,1.0,25.7,26.0,20.1,0.71,1013.3,1.6,2.9,338.0,0.0,1745200256.0,1745246592.0,0.75,,,0.0,1.0,0.0,21215.0,0.0,,,,,0.0,0.702,0.0,,,,6526.0,,,,,,,,,,,,,media/6BC906C5-6EBE-45E0-AD88-2F9462F3F3CF.mp4
15797976654,"Sep 13, 2025, 2:16:26 PM",2km jog,Run,"",1154,2.01,,,false,,,activities/15797976654.gpx,,,1154.0,1065.0,2014.8,3.56,1.892,0.0,0.0,1.2,3.2,7.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2019.4,,,,,,,,,,,,,,,,,,,,,,,,,,,1.746,0.0,,,,2322.0,0.0,,,,1.896,,,,,,,,media/3D0BB1AF-6BC0-41E8-82BA-853EBD81D4C4.jpg|media/5FDAC9F3-8485-4601-8EBE-3520B6C27202.jpg
15798912271,"Sep 13, 2025, 2:39:35 PM",errands,Walk,"",4203,3.05,,,false,,,activities/15798912271.gpx,,,4203.0,2180.0,3052.6,11.007,1.4,25.0,26.8,-0.9,9.8,29.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.726,0.0,,,,3702.0,0.0,,,,,,,,,,,,""
15821084822,"Sep 15, 2025, 3:46:32 PM",IKEA WALK,Walk,"",3520,0.63,,,false,,,activities/15821084822.gpx,,,3520.0,269.0,638.2,9.26,2.372,15.1,9.9,-18.6,5.0,46.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.181,0.0,,,,2324.0,0.0,,,,,,,,,,,,media/81AEEAF2-2C82-4D52-971E-40080C7CC963.jpg
15823172080,"Sep 15, 2025, 7:33:08 PM",2km jog (2),Run,"",866,2.03,,,false,,,activities/15823172080.gpx,,,866.0,860.0,2033.1,3.9,2.364,0.0,0.0,1.2,2.0,1.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2034.7,,,,,,,,,,,,,,,,,,,,,,,,,,,2.348,0.0,,,,2018.0,0.0,,,,2.366,,,,,,,,media/DFDB2187-2F14-4B7F-BAE2-C7B8EFFB0258.jpg
