Encrypted ID,Activity Type,Predicted Activity Type,Integrity_MAC
b'gAAAAABpHijlKVGNGyoilMAZZw2s8JReAfOpji4bLH-PDh_YemqE4w8j2mrfRaP9BvzE6EIuQzdfOV6lBUvjWmoKAlwz3fPl4g==',Ride,Walk,c27afa4d2ce98a1323729873b984db6fc482df8b52e268e83b052bbca8a0d8d5
b'gAAAAABpHijlypoHZoxWlfnabGX0FCyZe77vGcNkNmEESWkzDTpqHLYuPHwysto5sMEAaLh7a5ngdvdv2iw5cEGfMJcYlSu1EQ==',Ride,Walk,9b2ae8847b808ef6e0eceeb421cd4fe064722a9105c6dae43d9b7d054a78935a
b'gAAAAABpHijl5sxsoITHy3Y4jZ_gyLCaLpGsymtJldLRhCOGE32rWDCdIjh2xOyZfSYjLVRqsJneZNJ94vW7uTJ31kouiHJMEg==',Walk,Walk,b29029b61f6596cc0b8c34ee4924579080b3779e10f38f919a2e258855581f69
b'gAAAAABpHijlqG1ttXr6CSb-4owalTApccMMF-Psx3FjviVJU5R0ABv-N042yRtdTmLNjk_U0R7PLetpI7bxwn1oaIjGp2EliQ==',Ride,Walk,1e24b12afc2a18f706335047bc29b02e1124a013fba043322446de5956315f2a
b'gAAAAABpHijl-21IhThm6jZ24-_z3n1pEjvhePmIlS8fbX9lj1xtTVMiabRmi1swwnRyz2AjPvFidz_vorEkGM6Yoht22Cfsmg==',Ride,Walk,c68c5f184ed933063c131b6574e3f869bacb2b7648305989ca4ec89d0a4800a4
b'gAAAAABpHijlSIlFNb6uil_LPgcA0ywPMoOAvQjNGGJ_Tym2N0GDPBzJYaSFvQUVAPxrrRSiTD6f_fiYbLIaJkfH_B1Gs3GO0g==',Walk,Workout,9422d08604c60fa9711d3dccef545c306a4d20ee612047129d96405b21f0153d
b'gAAAAABpHijlnZQGJjKrwscNNb6H00w1AzRmcBA0RyazBbE_irPcr99FfwIxc923slAw87tZzwAqXjfdo7URvyVVFUnkKHIucQ==',Walk,Walk,1d42370db9e751178498457700e49d3a20cede51349e24aff6f99a23a4adbbd3
b'gAAAAABpHijltcQmrtm1-8JMzHeA-uyVk3M2snr2Jog8lv2V55Ph6fp6NM_I1SsajthDXSVDSsTIaNXJFW9sfqm-9T_vwR-ORQ==',Walk,Walk,2c3085012378da853521a5cc57f0542dbdc04128eb88430a3584f8f499671f53
b'gAAAAABpHijlqaQa--leAwuaxl-QlcnaM7Q-dmhU2wUbWy0Lab4oF7dcGlR4i34SHXXBZaBXUhF67RCSb1NMqRukUlmYN9bfbA==',Workout,Workout,2409f7f32b02b896a4b8604313392da7c597c7dccd2522a7a57a9f347f90f243
b'gAAAAABpHijl8_t2Ng6TEvFaClxSEPhqWvq9Hfpl3WIr9424u8S08dJjUAbYcWDVuxY7YuUcAjLsY7h0Llgke0zor60nr5H4sQ==',Ride,Walk,bd3f88847fee9dc9ad2e0f20b64ac44a01e83f951346bda51494dab141c8b294
