Encrypted ID,Activity Type,Predicted Activity Type,Integrity_MAC
gAAAAABpJIL1mGj8lPTcQNeClOobH39W8tu87CsBBpxpjgG0TVl8ebHcHzP_GlItzXziffkuem45yJkxyDAUKoaQcQyX0qPmcg==,Ride,Ride,67bbcd77334de1326a53f6f33158d3f58c9ef99f7b8469b77af2237e51bbc074
gAAAAABpJIL1-yBLHCtb-7mqTERdDTq9UGoCjpJ2VmtGA0Y19BXkeQR_AqrGIaPD9WK0xBqwM6YEjUVrih_B7vLC1aufQIrblw==,Ride,Ride,b5d98cfed58b65ab876f014cb7c7e137fd41da1430f4761336cd0f0308f10fe8
gAAAAABpJIL1XIGlmQBQ7CicDS-VIWpjtTHzpRmJ8ealvfBFnaMr78LaysmAiDxXyDNpfiDDMeTtOBxuWwriLyZ7OqlJzj7dZQ==,Walk,Walk,4efa73cc67f40ce479a1e5b4dd45e52b105ce6e7182eecd8d1d6dad46570e8c7
gAAAAABpJIL1Zrqk_ePhI-Iif305CIVKQ9AKwqEwKc2mij9QgYvEZ9emnQG8g5hNIcTmayy6NEbxwJh0M1N6Oakt_kZ7r6smYg==,Ride,Ride,eb70dafe3daf313deb8da19a07f135ce4136e5f72352251b06eaf0ca958d62a9
gAAAAABpJIL19a1RhXVbMqfXjuiuqKbkkS1lOB2-EtBR5OaJP28aD_Y6ZH-ycovmAVUbWnVxpoPY_Eoqv4m555rVuvPWpS3xIw==,Ride,Walk,cf934c73200d9b98ac82f235494c5597ddcc3b9f9a2796f524d1d3d7591c6310
gAAAAABpJIL1_NTRmtM9ZEz4nMaXBgCd_a7eidE7bh_TiSMWiLF_evRM4HcB-Txw-wfHKwnKdw62uWl-LNES8Lkm4MCxt0bj8w==,Walk,Walk,e60def4df472789992c9379fe2c819a305aa29df4bc3c6a18ee3030c197ecad1
gAAAAABpJIL1zB1AUrChrVdZhyZ3zf7CaZZLVZTVTugAMTp32lNSj6-JVSDed-WYCawO1tStoqdwwpD1Xe-qaoORthxLAoR4Rw==,Walk,Walk,d87b4c1474f9a280999d6f26fa84be059edd4140355fccb16ccafacae9132fbf
gAAAAABpJIL1S-LFqPkjr6u3JsVbwVbBNkX94lTVdwr59MEbhG3fEITKSRBp8o8N8Rkc7DufdsivZ_bvQkpF9b4vATQhjUW5Sg==,Walk,Walk,a690af7db9d57637cbf83b042dced67c3f64ea0d161af17686e3b9d2b9a1c2b3
gAAAAABpJIL1lFmsGjea3pg5qrxjiznu7FDlVK4kpatcZzJolRhg7Dkx3SW8JbdNechGgWbk34YkmnGPL70rZy0WCjc4RSZHRQ==,Workout,Workout,298fd22ba75ab53a32bd2d6939dac135df3c9f9cb4efd78f74e0ba911ef0dfe6
gAAAAABpJIL1z1DcWZFj1mt3V-Gar8sfUUpE5C4tniz8nEcpP9QVkr-6uuiqg0eU6Zmd6TlbFjFwJ3RiKKXLNwtuLelSPN-e9Q==,Ride,Ride,ca633ff3f8580678909979f44972b9007416db5d5d8b21eb1daa966a658cd518
gAAAAABpJIL1hqQE-Iryuiahy_QNY9kd7jkC-7qA-JU4G2OP-ObHOBxL_Wn10ftdWU_v5rBoeypa2UIzVAkhB8TGLMD7dCXq_w==,Walk,Ride,a92143a93840531fd317e6b88f656811daefae37c9a91d6049a76bf04b3f3eee
gAAAAABpJIL1a0pIXf6pcREI30ERlJzHqZZWhUNUWEDSSml4S9Oqu8c9zg7kjjnwGix-DuPRIVSPZKrTucRj6An5979Ua9pa-A==,Walk,Walk,6cf6dc434af3702a9471c7848686cb8c51673a317e980e48ae71390f34246b37
gAAAAABpJIL11MAk-25MQRR8qkH1ZRaQAzcNZKCW_cvmANQb-OQWmWMQW_FX5wmOa4-iKE24ucMY3Bba3hxY-VwAsnRaF1e-0Q==,Workout,Walk,06635b1f8f903f8a47b0fa15d7d03566a4a376dc9fae56c9f8425a8d8fb62d48
gAAAAABpJIL1bU11dZDeI3KbbEEm1A7WfMSSNHdqdCs1RRusqJK0rCBFVtZ9_EWHEJZIse6IwQq1Z-JcBcb059p3ZWbd7ijzNQ==,Walk,Walk,2d4d8c67c1c057eb8ab6a6cc39dda2f8256728549d4fc1e14b1b1dc767d99635
gAAAAABpJIL182eLa1fvxGPBUBETXeGcDTaxqklDw1SVpe7vNIi5_IEaKk0swE4gfcN93PY28ALsyufkxxu1UXHF4sXdlqI4UQ==,Ride,Ride,d06cb229a7b9a6f22d89ed8d8c4286e963c2dc814fbea4a734791744c426ea0b
gAAAAABpJIL1vcCHhk0Nb1OPopo0qM--djefMzC-P5wxPecCLqhICphzqOTgCfMZ804QCoNxUi82wCc5jZ0xwTsjDZJsC8W9AQ==,Workout,Walk,470a5d88fa7bef6446787a478b134afa8c99477a629a3ac47205b1f0bec5dec3
gAAAAABpJIL1pmxxpXUW2vm1PbfS04CicPuDrmPPYORNaxqTlneKGvgBq1x55fa8LHKQgjl1Ntmho--TfxDGw9hPNbJxaIVQsQ==,Workout,Walk,a9e37a65cf855f88e153f393eb79110b674f193417acc4b7fe2a35ba0728d6c0
gAAAAABpJIL1qS4Ii8iVLUS7LPbuhbuahU5Sy_m5Rs0F58wFNBfau2QRnkWiqTaE1CFnYJqbNoOVEX554AmzJLmaPAuYhty6Bg==,Run,Walk,efd468fbd0c169c26b72ca7c6f79838a6306af42b4f7255832a96da3482ff005
gAAAAABpJIL1qFQsDy28wRAnRvAoboEwiLnbjTZUQLiMDUeWi1DkDmN_d2Ppu5Q0STK4y9-awl56DhoXOe5p9T4DhH8AwOpDpg==,Walk,Walk,412e25ea068cf53cf6c7c3966285e61703ff67e8e94f3f06afe5b69485f08f04
gAAAAABpJIL1_zVVYHZnyY1-Jw7Y-zeLzjxMqJAMaacDGie8Xew1BBkjKOxZ_u0W6-KEnrlyYtWiQFPJl6rpv3T9Ahxr0VRIrw==,Walk,Walk,0f11581d1051a9b9446d8e8e0ae85859e83939543f57ce3409ac7907d2c95dbd
gAAAAABpJIL1awagNQaiWK_yZWUyu0y5F73Ncde-cPCla-JwCH3ArFQxdkp8K7OlNgDw-H3Sf62nRGYute7manYI4-XuIhMC3w==,Ride,Ride,6d6534d2236e87b89e216c4f3946788ac7c7e507bcb9ba09bde0311eeb97daeb
