Encrypted ID,Activity Type,Predicted Activity Type,Integrity_MAC
gAAAAABpJVLc1ouVkKXP5B3HxfebN9rNbWNQBtvwYy1ApqKGzhcF34Uk0vy57nMDkAgV007fLIkDTBvO_O6THsdSrd86H74Y9g==,Ride,Ride,6768493c292f839d7b6cb2222ef454792b11f079e61ac3cbbc87e22faacbc77e
gAAAAABpJVLcnlluPus9V02i_ahwOgFEOT0qQJEh5ZxjcYVGj12AUpNdtSkn9sHYy6FpKL6UIitOH5eIoQVfPOzCv6xbZLl05g==,Ride,Ride,ba97b38eefa4899855b9e2615f52ccb422f8c51ff49524c0e3031f2af3ff4c53
gAAAAABpJVLcZcx3GH67O5Bmd3a_yRosXtwZNuTLFhsz_JGNDlZkBGAMu-Ikx7yky3g2NRPTvEpK9RJCguBAVggqvW7tJH3RGQ==,Walk,Walk,7bc2fd885b3233dd3d4c0e04830c75b96e0441dd8bc63fc7fb060651e529db70
gAAAAABpJVLcEzPJiGotMJUN1-vnmMYVhVXGQ02saSRmKU7eJTNH_dK080qWT3lw3WjUgkWOSDrxjk4EOhZwMnbP3fVPePNOcg==,Ride,Ride,484bdfabf6170bb0868951703d1f0f4856b0dd097035bdcb45d0434a6d99a9b5
gAAAAABpJVLcIdJVguzogloN7w0jg6ewF4eChBY5zx8SzDmnB8-X7TRoro3W37q6QTUfk3jgKuB3MPwBmYrZE1bv_kZHm6zDLQ==,Ride,Walk,540d446a84b318340a59b364e4fd7ef400290f637da6ee013681ac6fd3a5657a
gAAAAABpJVLc9aMNhX51rtdVpzFc5T3ksQMoxc3lIlL9FCzg81wq8-agSExlzKH1PwbSUwyoJQk9Rx0d3y3muvkaieEdWhJN7g==,Walk,Walk,c03760a1566ff3da90c99f477938fb64d3afc64400a99a6c1629677cc8ee38e6
gAAAAABpJVLcq_zd8XuidDncnuGZMVh32Bz3idkUlpLUgZ8VzIuIWubqYNp9ID96jadTyVpSda-8I1s_N2x4dhP8bhtlvHKItw==,Walk,Walk,2087d32cf7ca693399c0dbc4937a6fc4663531b4382a2c843064b04a1a4d9e32
gAAAAABpJVLcykJBnxa-EBviSGRCod0cXhheUOicrnGU0jRa6TU3IzsquCK7-QnkhRahkVbmAQemnaH1OlsxewCZOyWcep4u3A==,Walk,Walk,4691f813befd996104e8c77e0358f8ac6b1f4043cc90a139407d5b2172e8fdc3
gAAAAABpJVLc5YpwnOxKXN6rTeADj9AY08-hLr7yu44O8qGRmu3YoRQBjYLog39UV4dsXyAewhzOTIev70vs_9rH4VwsdaOUuA==,Workout,Workout,093b836a7b6d21f2e35ff35ae143a76cc01d5ef4888ec36d804d07a1c5acaac0
gAAAAABpJVLcCEeTodLV6TJMmk3uk8kfE5zArXcMXPFlms5UjVlEE1FLaMB5-vXfW6md57SnHk-F6k_IDxT2CF5sZ4xySdZNGQ==,Ride,Ride,fcb2df89b582520027cbcb82366b0e4faa8a94a00f4974fa54709873edc8968e
gAAAAABpJVLc00HcZqb07Ri7O0Mke6yn7LNFZsntuB4-p7vNE__5feYlu7LQUZELqp2_YelpdBFLyDY7nwVbkY9BejfneDNFmQ==,Walk,Ride,7ab23e866f37833a2ef83fe1e8b5096790ba480be466476c28d055b1d0e0e6ed
